epoch,step,test_Energy_MAE,test_Energy_RMSE,test_Force_MAE,test_Force_RMSE,test_Magmom_MAE,test_Magmom_RMSE,test_Stress_MAE,test_Stress_RMSE,test_Total_Loss,train_Energy_MAE,train_Energy_RMSE,train_Force_MAE,train_Force_RMSE,train_Magmom_MAE,train_Magmom_RMSE,train_Stress_MAE,train_Stress_RMSE,train_Total_Loss,val_Energy_MAE,val_Energy_RMSE,val_Force_MAE,val_Force_RMSE,val_Magmom_MAE,val_Magmom_RMSE,val_Stress_MAE,val_Stress_RMSE,val_Total_Loss
46,8600,,,,,,,,,,0.012295592576265335,0.017993181943893433,0.10680998861789703,0.15893222391605377,0.0,0.0,0.0,0.0,0.02583993226289749,,,,,,,,,
47,8783,,,,,,,,,,,,,,,,,,,0.011082522571086884,0.018309157341718674,0.1079549789428711,0.1600765734910965,0.0,0.0,0.0,0.0,0.02617264911532402
47,8783,,,,,,,,,,0.011945734731853008,0.017618589103221893,0.10665488243103027,0.15881751477718353,0.0,0.0,0.0,0.0,0.02581239677965641,,,,,,,,,
48,8966,,,,,,,,,,,,,,,,,,,0.012316757813096046,0.018139496445655823,0.10764230787754059,0.15957073867321014,0.0,0.0,0.0,0.0,0.025996984913945198
48,8966,,,,,,,,,,0.012092849239706993,0.017736196517944336,0.10639356076717377,0.1584065854549408,0.0,0.0,0.0,0.0,0.025703147053718567,,,,,,,,,
49,9149,,,,,,,,,,,,,,,,,,,0.011522114276885986,0.018151775002479553,0.10757700353860855,0.1592978984117508,0.0,0.0,0.0,0.0,0.025912998244166374
49,9149,,,,,,,,,,0.011737151071429253,0.017364393919706345,0.1060490682721138,0.15801946818828583,0.0,0.0,0.0,0.0,0.025542516261339188,,,,,,,,,
50,9332,,,,,,,,,,,,,,,,,,,0.012223622761666775,0.017800189554691315,0.10736442357301712,0.15916357934474945,0.0,0.0,0.0,0.0,0.025856604799628258
50,9332,,,,,,,,,,0.011793260462582111,0.01732809841632843,0.10608772933483124,0.15796718001365662,0.0,0.0,0.0,0.0,0.025529328733682632,,,,,,,,,
51,9515,,,,,,,,,,,,,,,,,,,0.011938554234802723,0.01785014569759369,0.10752512514591217,0.15916574001312256,0.0,0.0,0.0,0.0,0.025856243446469307
51,9515,,,,,,,,,,0.011762029491364956,0.017319707199931145,0.10580655932426453,0.15769806504249573,0.0,0.0,0.0,0.0,0.025414641946554184,,,,,,,,,
52,9698,,,,,,,,,,,,,,,,,,,0.012147458270192146,0.017534621059894562,0.10737039148807526,0.1589912325143814,0.0,0.0,0.0,0.0,0.025789625942707062
52,9698,,,,,,,,,,0.011830461211502552,0.017334382981061935,0.10594307631254196,0.15782329440116882,0.0,0.0,0.0,0.0,0.02547709457576275,,,,,,,,,
53,9881,,,,,,,,,,,,,,,,,,,0.01165411714464426,0.017630085349082947,0.10706008225679398,0.15871605277061462,0.0,0.0,0.0,0.0,0.02570982649922371
53,9881,,,,,,,,,,0.011927290819585323,0.0175374373793602,0.10586722195148468,0.157597154378891,0.0,0.0,0.0,0.0,0.0254270788282156,,,,,,,,,
54,10064,,,,,,,,,,,,,,,,,,,0.011362996883690357,0.018142685294151306,0.1073184609413147,0.1589653640985489,0.0,0.0,0.0,0.0,0.025816913694143295
54,10064,,,,,,,,,,0.012151905335485935,0.017800765112042427,0.10621964931488037,0.1578819453716278,0.0,0.0,0.0,0.0,0.025502916425466537,,,,,,,,,
55,10247,,,,,,,,,,,,,,,,,,,0.012677188962697983,0.018243035301566124,0.10665043443441391,0.1585465520620346,0.0,0.0,0.0,0.0,0.02568040043115616
55,10247,,,,,,,,,,0.01366912480443716,0.019188566133379936,0.10602153837680817,0.1576256901025772,0.0,0.0,0.0,0.0,0.025464631617069244,,,,,,,,,
56,10430,,,,,,,,,,,,,,,,,,,0.012787389568984509,0.020186960697174072,0.10695675760507584,0.15829528868198395,0.0,0.0,0.0,0.0,0.02567935176193714
56,10430,,,,,,,,,,0.01349987555295229,0.019160224124789238,0.10599838942289352,0.1572897732257843,0.0,0.0,0.0,0.0,0.025368977338075638,,,,,,,,,
57,10613,,,,,,,,,,,,,,,,,,,0.012941316701471806,0.019492268562316895,0.10737838596105576,0.15841235220432281,0.0,0.0,0.0,0.0,0.025675438344478607
57,10613,,,,,,,,,,0.01460759062319994,0.020128468051552773,0.10603221505880356,0.15729722380638123,0.0,0.0,0.0,0.0,0.025408009067177773,,,,,,,,,
58,10796,,,,,,,,,,,,,,,,,,,0.011628291569650173,0.018069345504045486,0.10805926471948624,0.1585499495267868,0.0,0.0,0.0,0.0,0.025658657774329185
58,10796,,,,,,,,,,0.01763203553855419,0.02310509979724884,0.10667775571346283,0.15773038566112518,0.0,0.0,0.0,0.0,0.025722214952111244,,,,,,,,,
59,10979,,,,,,,,,,,,,,,,,,,0.015672391280531883,0.020695125684142113,0.10731164366006851,0.1572517305612564,0.0,0.0,0.0,0.0,0.02533820830285549
59,10979,,,,,,,,,,0.019517887383699417,0.02480529062449932,0.10651060193777084,0.15725897252559662,0.0,0.0,0.0,0.0,0.025661250576376915,,,,,,,,,
60,11162,,,,,,,,,,,,,,,,,,,0.017555927857756615,0.023131782189011574,0.10811459273099899,0.15809686481952667,0.0,0.0,0.0,0.0,0.025716383010149002
60,11162,,,,,,,,,,0.019557317718863487,0.024828067049384117,0.10635636001825333,0.15681703388690948,0.0,0.0,0.0,0.0,0.025562642142176628,,,,,,,,,
61,11345,,,,,,,,,,,,,,,,,,,0.011296922340989113,0.018923424184322357,0.10990474373102188,0.15933525562286377,0.0,0.0,0.0,0.0,0.025949537754058838
